,Player,Team,Pos,Rec,Rec Yds,Rec TDs,Rush Att,Rush Yds,Rush TDs,Fum,Fantasy Points
0,Davante Adams,GB,WR,123.7,1492.1,12.6,0.0,0.0,0.0,0.8,285.1
1,Tyreek Hill,KC,WR,100.7,1440.6,12.2,12.9,81.8,0.8,0.7,279.6
2,Stefon Diggs,BUF,WR,112.8,1468.8,9.1,2.4,15.5,0.1,1.2,257.2
3,DeAndre Hopkins,ARI,WR,121.8,1461.2,7.6,1.5,7.4,0.0,1.5,250.4
4,Calvin Ridley,ATL,WR,99.8,1425.3,9.1,4.8,26.3,0.1,0.8,248.5
5,Justin Jefferson,MIN,WR,94.5,1399.3,7.9,0.4,1.5,0.0,0.8,233.1
6,D.K. Metcalf,SEA,WR,86.6,1304.9,9.9,0.3,1.3,0.0,1.4,230.7
7,A.J. Brown,TEN,WR,84.6,1269.5,9.8,0.5,7.5,0.0,0.9,227.0
8,Keenan Allen,LAC,WR,111.5,1207.8,7.8,3.0,16.3,0.1,1.0,223.9
9,Michael Thomas,NO,WR,103.9,1237.0,6.7,0.3,-1.0,0.0,0.8,214.5
10,Amari Cooper,DAL,WR,92.0,1212.7,7.4,2.6,12.1,0.0,0.8,211.5
11,Allen Robinson II,CHI,WR,97.3,1214.1,6.8,0.3,0.3,0.0,0.7,209.6
12,Robert Woods,LAR,WR,97.8,1090.1,5.9,15.9,97.8,1.2,0.8,208.6
13,Terry McLaurin,WAS,WR,90.2,1219.3,6.8,1.8,12.1,0.1,0.7,207.7
14,Mike Evans,TB,WR,76.1,1116.0,9.6,0.0,0.0,0.0,0.7,205.7
15,Tyler Lockett,SEA,WR,92.5,1055.5,8.4,1.6,5.7,0.0,0.7,201.5
16,Adam Thielen,MIN,WR,81.1,1034.0,9.2,3.2,14.5,0.3,0.7,200.7
17,CeeDee Lamb,DAL,WR,83.6,1093.1,6.7,8.7,62.5,0.6,0.8,199.5
18,Cooper Kupp,LAR,WR,92.4,1069.5,7.1,2.8,17.5,0.0,0.7,196.5
19,D.J. Moore,CAR,WR,82.9,1200.6,5.4,3.1,20.1,0.1,0.8,194.7
20,Chris Godwin,TB,WR,82.6,1077.5,7.4,0.3,2.0,0.0,0.8,192.3
21,Julio Jones,TEN,WR,78.2,1107.4,7.2,0.5,-0.5,0.0,0.7,191.9
22,Tee Higgins,CIN,WR,79.5,1062.8,6.6,2.3,12.3,0.0,0.8,185.5
23,Diontae Johnson,PIT,WR,94.5,983.9,6.3,4.4,27.2,0.1,1.4,183.9
24,Courtland Sutton,DEN,WR,74.1,1054.3,6.7,1.7,9.4,0.0,0.8,182.3
25,Odell Beckham Jr.,CLE,WR,71.2,996.2,6.7,5.8,51.4,0.3,0.7,180.8
26,Ja'Marr Chase,CIN,WR,73.3,1063.7,6.1,1.5,8.2,0.0,1.2,178.4
27,Kenny Golladay,NYG,WR,70.0,1046.6,6.6,0.0,0.0,0.0,0.7,178.0
28,Brandon Aiyuk,SF,WR,72.5,924.1,6.4,13.8,77.9,0.7,0.7,177.3
29,D.J. Chark Jr.,JAC,WR,76.5,1026.2,6.1,0.3,3.3,0.0,0.7,176.8
30,JuJu Smith-Schuster,PIT,WR,89.9,905.7,6.8,0.0,0.0,0.0,0.9,174.3
31,Chase Claypool,PIT,WR,69.9,898.8,6.9,8.3,44.0,0.6,0.9,172.6
32,Brandin Cooks,HOU,WR,73.5,1036.4,5.2,0.8,6.8,0.0,0.7,171.1
33,Robby Anderson,CAR,WR,80.3,989.8,5.2,2.5,12.3,0.1,0.8,170.3
34,Deebo Samuel,SF,WR,72.1,922.3,4.8,12.9,96.4,0.7,0.8,169.5
35,Tyler Boyd,CIN,WR,82.0,910.4,5.0,2.1,15.6,0.0,0.8,162.4
36,Jarvis Landry,CLE,WR,74.3,900.0,5.1,2.0,10.1,0.3,0.8,158.9
37,Jerry Jeudy,DEN,WR,68.2,966.8,4.9,0.0,0.0,0.0,0.8,158.7
38,Michael Gallup,DAL,WR,62.8,924.8,5.9,0.0,0.0,0.0,0.6,158.1
39,Marquise Brown,BAL,WR,61.0,823.6,7.1,2.5,13.0,0.1,0.6,155.8
40,Laviska Shenault Jr.,JAC,WR,70.0,776.4,4.9,20.2,111.3,0.5,0.7,155.0
41,Curtis Samuel,WAS,WR,63.4,744.8,4.9,24.7,129.1,1.1,0.7,153.4
42,DeVante Parker,MIA,WR,67.1,858.6,5.7,0.0,0.0,0.0,0.7,152.5
43,DeVonta Smith,PHI,WR,63.8,910.4,4.9,1.0,6.2,0.0,1.2,150.5
44,Will Fuller V,MIA,WR,66.8,850.8,5.3,0.0,0.0,0.0,0.6,149.1
45,T.Y. Hilton,IND,WR,62.4,828.2,5.8,0.0,0.0,0.0,0.6,147.5
46,Corey Davis,NYJ,WR,68.4,885.7,4.1,0.0,0.0,0.0,0.8,145.7
47,Mike Williams,LAC,WR,53.5,878.8,5.2,0.3,0.5,0.0,0.6,144.5
48,Marvin Jones Jr.,JAC,WR,62.6,798.9,5.4,0.3,0.0,0.0,0.6,142.4
49,Antonio Brown,TB,WR,61.4,686.7,6.1,1.8,11.1,0.0,0.6,135.6
50,Cole Beasley,BUF,WR,66.1,763.6,4.5,0.0,0.0,0.0,0.6,135.3
51,Mecole Hardman,KC,WR,51.8,722.6,5.5,6.4,43.7,0.1,1.7,132.6
52,Tyrell Williams,DET,WR,55.9,809.9,4.0,0.0,0.0,0.0,0.7,131.6
53,Russell Gage,ATL,WR,66.6,721.6,4.0,1.5,6.3,0.0,0.6,129.2
54,Jaylen Waddle,MIA,WR,56.4,749.1,4.6,1.0,5.6,0.0,1.2,129.0
55,Michael Pittman Jr.,IND,WR,56.6,744.2,4.0,3.4,22.3,0.0,0.7,127.9
56,Breshad Perriman,DET,WR,52.7,765.9,3.9,1.9,11.3,0.0,0.1,127.4
57,Henry Ruggs III,LV,WR,49.4,760.0,4.1,7.6,42.0,0.1,1.7,127.2
58,Darnell Mooney,CHI,WR,60.4,704.6,4.2,3.3,18.7,0.1,0.7,126.6
59,Emmanuel Sanders,BUF,WR,56.0,684.8,4.8,1.1,6.7,0.1,0.6,125.1
60,Jalen Reagor,PHI,WR,53.2,722.5,3.8,3.1,17.3,0.1,0.7,122.5
61,Nelson Agholor,NE,WR,49.7,704.7,4.3,0.3,1.3,0.0,0.7,119.9
62,Gabriel Davis,BUF,WR,42.9,634.4,5.0,0.3,0.0,0.0,0.1,114.5
63,Allen Lazard,GB,WR,48.0,661.7,4.1,1.3,9.7,0.0,0.6,114.4
64,Sterling Shepard,NYG,WR,58.9,600.7,3.4,3.3,25.8,0.3,0.6,113.2
65,A.J. Green,ARI,WR,51.2,626.3,3.9,0.0,0.0,0.0,0.7,110.5
66,John Brown,LV,WR,47.9,651.1,3.7,0.3,1.0,0.0,0.6,110.2
67,Jamison Crowder,NYJ,WR,54.5,607.1,3.5,0.3,3.3,0.0,0.6,108.2
68,Christian Kirk,ARI,WR,47.8,578.5,4.1,3.9,27.0,0.0,0.6,108.0
69,Tre'Quan Smith,NO,WR,40.1,576.4,4.6,0.3,0.5,0.0,0.1,105.1
70,Rashod Bateman,BAL,WR,43.1,569.4,4.4,0.8,4.8,0.0,0.6,103.8
71,Marquez Valdes-Scantling,GB,WR,34.5,593.0,4.2,2.5,14.8,0.0,0.6,102.2
72,Elijah Moore,NYJ,WR,48.6,591.1,3.0,0.7,4.2,0.0,0.4,101.4
73,Randall Cobb,HOU,WR,49.0,605.2,2.9,0.5,1.3,0.0,0.7,101.2
74,Rondale Moore,ARI,WR,47.1,581.4,3.2,1.1,6.2,0.0,1.2,99.5
75,Parris Campbell,IND,WR,43.6,527.3,3.4,4.9,30.7,0.2,0.4,98.4
76,Darius Slayton,NYG,WR,41.9,569.3,3.5,0.8,2.6,0.0,0.6,97.9
77,Terrace Marshall Jr.,CAR,WR,44.7,582.6,3.2,0.5,2.8,0.0,1.1,97.8
78,Hunter Renfrow,LV,WR,45.4,547.2,2.9,0.0,0.0,0.0,0.6,93.9
79,DeSean Jackson,LAR,WR,33.8,543.8,3.4,1.6,10.6,0.0,0.6,92.2
80,Jakobi Meyers,NE,WR,42.8,541.0,2.4,0.8,4.1,0.0,0.4,89.6
81,Chris Conley,HOU,WR,35.9,506.4,2.8,0.0,0.0,0.0,0.2,84.9
82,Amon-Ra St. Brown,DET,WR,39.7,507.2,2.3,0.5,2.3,0.0,0.6,83.5
83,Denzel Mims,NYJ,WR,37.3,525.3,2.2,0.3,0.8,0.0,0.6,83.3
84,Keelan Cole Sr.,NYJ,WR,37.0,475.7,3.0,0.0,0.0,0.0,0.5,83.1
85,Josh Reynolds,TEN,WR,36.1,469.6,3.1,0.8,4.5,0.0,0.6,82.9
86,Van Jefferson,LAR,WR,37.4,454.2,3.1,0.3,0.0,0.0,0.1,82.8
87,Sammy Watkins,BAL,WR,35.1,429.7,3.4,0.8,7.5,0.0,0.6,80.3
88,James Washington,PIT,WR,32.4,441.6,2.8,0.0,0.0,0.0,0.6,76.3
89,Rashard Higgins,CLE,WR,29.8,448.4,3.0,0.0,0.0,0.0,0.6,76.3
90,Demarcus Robinson,KC,WR,34.5,411.2,3.2,0.0,0.0,0.0,0.6,76.3
91,D'Wayne Eskridge,SEA,WR,33.0,404.4,3.0,0.7,3.7,0.0,0.2,75.3
92,Anthony Miller,CHI,WR,35.6,409.3,2.4,2.9,15.9,0.1,0.3,74.7
93,Zach Pascal,IND,WR,28.0,385.6,3.1,0.3,2.0,0.0,0.0,71.5
94,KJ Hamler,DEN,WR,30.2,360.2,2.4,10.1,50.0,0.2,0.6,70.4
95,Jalen Guyton,LAC,WR,27.4,420.7,2.3,2.0,7.9,0.1,0.1,70.4
96,Kendrick Bourne,NE,WR,31.5,398.9,2.2,0.0,0.0,0.0,0.1,68.8
97,Kadarius Toney,NYG,WR,31.5,375.5,2.0,4.4,28.2,0.1,0.4,68.4
98,Josh Palmer,LAC,WR,28.9,397.3,2.4,0.7,3.7,0.0,0.6,67.7
99,Tim Patrick,DEN,WR,29.6,384.8,2.5,0.0,0.0,0.0,0.6,67.2
100,Olamide Zaccheaus,ATL,WR,27.0,394.8,1.9,0.3,1.4,0.0,0.1,64.6
101,Marquez Callaway,NO,WR,29.4,356.0,2.1,0.0,0.0,0.0,0.1,62.6
102,Mohamed Sanu,SF,WR,32.8,339.1,2.0,1.3,5.7,0.0,0.5,61.9
103,Nico Collins,HOU,WR,27.5,366.8,1.9,0.0,0.0,0.0,0.2,61.6
104,Preston Williams,MIA,WR,24.5,315.7,2.9,0.0,0.0,0.0,0.6,60.2
105,Amari Rodgers,GB,WR,26.4,323.4,1.9,2.7,16.3,0.1,0.2,58.8
106,Deonte Harris,NO,WR,25.9,291.7,1.5,8.4,54.2,0.2,0.3,57.1
107,Tyron Johnson,LAC,WR,19.9,312.2,2.1,2.3,13.0,0.0,0.1,55.3
108,Keke Coutee,HOU,WR,27.6,324.4,1.7,0.7,3.7,0.3,2.1,54.6
109,Dyami Brown,WAS,WR,22.8,315.2,1.7,0.0,0.0,0.0,0.1,53.1
110,Quintez Cephus,DET,WR,23.8,316.4,1.5,0.0,0.0,0.0,0.2,52.1
111,Byron Pringle,KC,WR,22.7,290.9,2.0,0.0,0.0,0.0,0.2,52.0
112,Richie James Jr.,SF,WR,23.2,357.0,1.4,0.8,0.0,0.0,2.1,51.7
113,Bryan Edwards,LV,WR,21.1,294.8,1.8,0.0,0.0,0.0,0.1,50.7
114,Travis Fulgham,PHI,WR,22.7,296.2,1.6,0.0,0.0,0.0,0.1,50.5
115,Geronimo Allison,DET,WR,25.3,276.3,1.4,0.0,0.0,0.0,0.1,48.7
116,N'Keal Harry,NE,WR,21.7,257.3,1.8,1.0,5.7,0.0,0.1,47.8
117,Adam Humphries,WAS,WR,24.7,266.8,1.3,0.0,0.0,0.0,0.1,46.3
118,Tutu Atwell,LAR,WR,21.2,275.7,1.4,0.0,0.0,0.0,0.2,45.9
119,Scotty Miller,TB,WR,17.0,245.3,1.8,1.4,7.7,0.1,0.1,45.0
120,Isaiah McKenzie,BUF,WR,18.9,201.4,1.9,5.7,28.4,0.2,0.1,45.0
121,Auden Tate,CIN,WR,20.5,260.0,1.4,0.0,0.0,0.0,0.1,44.5
122,Isaiah Coulter,HOU,WR,17.3,271.5,1.5,1.0,4.0,0.0,1.0,43.2
123,Greg Ward,PHI,WR,22.1,220.2,1.2,0.0,0.0,0.0,0.2,39.9
124,Devin Duvernay,BAL,WR,17.3,190.6,1.3,1.7,11.7,0.0,0.1,36.4
125,Donovan Peoples-Jones,CLE,WR,14.4,221.1,1.2,0.3,1.0,0.0,0.5,35.5
126,Dez Fitzpatrick,TEN,WR,15.4,200.3,1.0,0.0,0.0,0.0,0.1,33.6
127,Andre Roberts,HOU,WR,15.0,195.0,1.0,0.0,0.0,0.0,0.0,33.0
128,Collin Johnson,JAC,WR,15.7,192.5,0.7,0.0,0.0,0.0,0.1,31.4
129,Donte Moncrief,HOU,WR,13.7,173.5,1.1,0.0,0.0,0.0,0.0,31.0
130,Willie Snead IV,LV,WR,14.5,167.3,0.9,0.0,0.0,0.0,0.1,29.1
131,David Moore,CAR,WR,11.6,160.8,1.0,1.2,7.8,0.0,0.1,28.5
132,Phillip Dorsett II,JAC,WR,12.9,157.1,1.0,0.0,0.0,0.0,0.0,27.8
133,Freddie Swain,SEA,WR,12.4,155.9,1.0,0.0,0.0,0.0,0.1,27.8
134,Olabisi Johnson,MIN,WR,12.9,153.9,1.0,0.0,0.0,0.0,0.0,27.6
135,Cam Sims,WAS,WR,12.1,163.6,0.8,0.0,0.0,0.0,0.0,26.9
136,Chad Beebe,MIN,WR,11.5,141.3,0.9,0.0,0.0,0.0,0.1,25.3
137,Lynn Bowden Jr.,MIA,WR,11.6,106.9,0.3,10.2,49.2,0.2,0.1,24.2
138,Christian Blake,ATL,WR,12.5,146.0,0.5,0.0,0.0,0.0,0.1,23.7
139,Miles Boykin,BAL,WR,9.9,133.0,0.8,0.8,4.9,0.0,0.1,23.5
140,KeeSean Johnson,ARI,WR,10.6,121.3,1.0,0.0,0.0,0.0,0.0,23.4
141,Ray-Ray McCloud,PIT,WR,11.5,114.0,0.7,3.0,18.8,0.1,0.2,23.1
142,Jalen Hurd,SF,WR,8.0,101.9,0.6,4.6,28.2,0.2,0.1,21.7
143,Marquise Goodwin,CHI,WR,10.8,112.4,0.5,0.0,0.0,0.0,0.0,19.7
144,Jeff Smith,NYJ,WR,9.6,107.2,0.6,0.0,0.0,0.0,0.0,19.2
145,Tyler Johnson,TB,WR,8.1,102.7,0.7,0.0,0.0,0.0,0.0,18.7
146,Cedrick Wilson,DAL,WR,8.3,108.9,0.6,0.0,0.0,0.0,0.1,18.3
147,Alex Erickson,HOU,WR,9.4,107.3,0.5,0.0,0.0,0.0,0.1,18.3
148,Jamal Agnew,JAC,WR,6.9,77.3,0.4,6.1,33.1,0.2,0.1,18.2
149,Cameron Batson,TEN,WR,7.2,80.2,0.6,2.5,14.9,0.1,0.1,17.1
150,Chris Moore,HOU,WR,8.3,92.6,0.6,0.0,0.0,0.0,0.0,16.7
151,Mike Thomas,CIN,WR,7.5,94.0,0.6,0.0,0.0,0.0,0.1,16.5
152,Noah Brown,DAL,WR,7.4,90.8,0.6,0.0,0.0,0.0,0.1,16.0
153,Frank Darby,ATL,WR,7.3,92.3,0.5,0.0,0.0,0.0,0.0,15.6
154,Equanimeous St. Brown,GB,WR,6.5,88.2,0.6,0.0,0.0,0.0,0.0,15.5
155,Andy Isabella,ARI,WR,7.2,90.1,0.5,0.0,0.0,0.0,0.0,15.5
156,Anthony Schwartz,CLE,WR,6.8,82.8,0.6,0.0,0.0,0.0,0.0,14.9
157,Penny Hart,SEA,WR,6.7,78.3,0.6,0.7,3.3,0.0,0.0,14.8
158,Juwan Johnson,NO,WR,7.3,97.3,0.2,0.0,0.0,0.0,0.0,14.6
159,DaeSean Hamilton,DEN,WR,7.3,75.0,0.5,0.0,0.0,0.0,0.0,14.0
160,Nick Westbrook-Ikhine,TEN,WR,5.8,77.2,0.5,0.0,0.0,0.0,0.0,13.5
161,Devin Funchess,GB,WR,5.6,71.3,0.6,0.0,0.0,0.0,0.0,13.4
162,Antonio Gandy-Golden,WAS,WR,5.6,74.1,0.4,0.0,0.0,0.0,0.0,12.6
163,Steven Sims Jr.,WAS,WR,4.8,61.0,0.3,1.1,7.0,0.0,0.0,11.5
164,John Ross,NYG,WR,4.3,56.4,0.5,0.7,3.9,0.0,0.1,11.3
165,Javon Wims,CHI,WR,5.2,70.9,0.2,0.0,0.0,0.0,0.0,10.6
166,Tajae Sharpe,ATL,WR,4.6,58.6,0.4,0.0,0.0,0.0,0.0,10.3
167,Albert Wilson,MIA,WR,4.8,48.5,0.3,1.6,8.8,0.0,0.0,10.2
168,Victor Bolden Jr.,DET,WR,5.2,56.2,0.3,0.0,0.0,0.0,0.0,10.2
169,Kalif Raymond,DET,WR,4.9,64.9,0.1,0.0,0.0,0.0,0.0,9.8
170,Malik Taylor,GB,WR,4.3,50.1,0.3,0.0,0.0,0.0,0.0,9.2
171,Ihmir Smith-Marsette,MIN,WR,4.6,60.9,0.1,0.0,0.0,0.0,0.0,9.1
172,Diontae Spencer,DEN,WR,3.6,40.0,0.2,2.4,13.6,0.1,0.0,8.9
173,Cornell Powell,KC,WR,3.8,48.7,0.3,0.0,0.0,0.0,0.0,8.7
174,Jaelon Darden,TB,WR,4.2,48.0,0.3,0.0,0.0,0.0,0.0,8.6
175,Justin Watson,TB,WR,4.1,44.4,0.3,0.0,0.0,0.0,0.0,8.6
176,Isaiah Hodgins,BUF,WR,3.7,46.8,0.3,0.0,0.0,0.0,0.0,8.4
177,Isaac Whitney,ARI,WR,4.1,47.0,0.3,0.0,0.0,0.0,0.0,8.4
178,Greg Dortch,ATL,WR,4.1,46.9,0.3,0.0,0.0,0.0,0.0,8.3
179,Lil'Jordan Humphrey,NO,WR,3.6,47.2,0.3,0.0,0.0,0.0,0.0,8.3
181,J.J. Nelson,IND,WR,3.0,46.3,0.3,0.0,0.0,0.0,0.0,8.1
180,Marcus Johnson,TEN,WR,3.6,43.7,0.3,0.0,0.0,0.0,0.0,8.1
182,Chester Rogers,TEN,WR,3.9,38.2,0.3,0.0,0.0,0.0,0.0,7.7
183,Jakeem Grant Sr.,MIA,WR,3.2,35.2,0.2,1.5,8.4,0.0,0.0,7.5
184,Trent Taylor,CIN,WR,4.0,40.1,0.2,0.0,0.0,0.0,0.0,7.4
185,Zay Jones,LV,WR,3.3,37.4,0.3,0.0,0.0,0.0,0.0,7.2
186,Dazz Newsome,CHI,WR,3.3,42.6,0.2,0.0,0.0,0.0,0.0,7.1
187,Gunner Olszewski,NE,WR,2.8,33.6,0.2,1.8,9.8,0.1,0.0,7.1
188,Tylan Wallace,BAL,WR,3.0,38.7,0.3,0.0,0.0,0.0,0.0,7.0
189,Quez Watkins,PHI,WR,2.9,38.4,0.2,0.0,0.0,0.0,0.0,6.3
190,Keith Kirkwood,CAR,WR,3.0,38.3,0.2,0.0,0.0,0.0,0.0,6.2
191,Gehrig Dieter,KC,WR,2.4,31.2,0.2,0.0,0.0,0.0,0.0,5.4
192,Damiere Byrd,CHI,WR,2.4,29.9,0.2,0.0,0.0,0.0,0.0,5.1
193,J.J. Arcega-Whiteside,PHI,WR,2.2,31.0,0.2,0.0,0.0,0.0,0.0,5.1
194,Nsimba Webster,LAR,WR,2.3,28.8,0.1,0.0,0.0,0.0,0.0,4.8
195,Travis Benjamin,SF,WR,1.9,27.0,0.2,0.0,0.0,0.0,0.0,4.7
196,Jaydon Mickens,TB,WR,2.0,24.6,0.2,0.0,0.0,0.0,0.0,4.5
197,Terry Godwin,JAC,WR,2.0,22.5,0.2,0.0,0.0,0.0,0.0,4.3
198,Simi Fehoko,DAL,WR,1.9,24.3,0.2,0.0,0.0,0.0,0.0,4.2
200,K.J. Osborn,MIN,WR,1.9,24.7,0.1,0.0,0.0,0.0,0.0,4.2
199,Brandon Powell,BUF,WR,2.0,22.2,0.2,0.0,0.0,0.0,0.0,4.2
201,Jalen Camp,JAC,WR,1.8,23.0,0.1,0.0,0.0,0.0,0.0,3.9
202,Braxton Berrios,NYJ,WR,1.5,17.4,0.1,1.0,5.8,0.0,0.0,3.7
203,K.J. Hill Jr.,LAC,WR,1.4,16.7,0.1,1.0,6.3,0.0,0.0,3.7
204,Allen Hurns,MIA,WR,1.6,16.8,0.2,0.0,0.0,0.0,0.0,3.5
205,Malcolm Perry,MIA,WR,1.2,11.7,0.1,1.8,9.4,0.1,0.0,3.5
206,Kendall Hinton,DEN,WR,1.4,15.6,0.1,1.2,6.4,0.0,0.0,3.5
207,Seth Williams,DEN,WR,1.7,20.2,0.1,0.0,0.0,0.0,0.0,3.5
208,Shi Smith,CAR,WR,1.7,20.7,0.1,0.0,0.0,0.0,0.0,3.4
209,Ashton Dulin,IND,WR,1.2,15.0,0.1,1.2,6.2,0.0,0.0,3.3
210,Trent Sherfield,SF,WR,1.1,14.8,0.1,0.0,0.0,0.0,0.0,2.4
211,Malik Turner,DAL,WR,1.0,13.5,0.0,0.0,0.0,0.0,0.0,1.9
212,Joe Reed,LAC,WR,0.8,9.4,0.0,0.9,4.8,0.0,0.0,1.8
213,Trey Quinn,LV,WR,1.2,12.3,0.0,0.0,0.0,0.0,0.0,1.8
214,Matt Cole,NYJ,WR,0.9,9.5,0.0,0.9,4.3,0.0,0.0,1.8
215,Damion Ratley,DET,WR,1.0,11.5,0.0,0.0,0.0,0.0,0.0,1.7
216,Antonio Callaway,KC,WR,0.9,11.1,0.0,0.0,0.0,0.0,0.0,1.6
218,DeAndre Carter,WAS,WR,0.9,10.4,0.0,0.0,0.0,0.0,0.0,1.5
217,Kelvin Harmon,WAS,WR,0.8,10.5,0.0,0.0,0.0,0.0,0.0,1.5
219,Vyncint Smith,NYJ,WR,0.9,10.1,0.0,0.0,0.0,0.0,0.0,1.4
224,Josh Malone,NYJ,WR,0.9,9.4,0.0,0.0,0.0,0.0,0.0,1.4
220,Marcus Kemp,KC,WR,0.9,9.6,0.0,0.0,0.0,0.0,0.0,1.4
226,Chris Rowland,ATL,WR,0.9,9.3,0.0,0.0,0.0,0.0,0.0,1.4
225,Jeff Badet,ATL,WR,0.9,9.3,0.0,0.0,0.0,0.0,0.0,1.4
227,Tanner Gentry,BUF,WR,0.8,9.3,0.0,0.0,0.0,0.0,0.0,1.4
223,Jason Moore,LAC,WR,0.8,9.6,0.0,0.0,0.0,0.0,0.0,1.4
222,Darrius Shepherd,KC,WR,0.9,9.5,0.0,0.0,0.0,0.0,0.0,1.4
221,Isaiah Wright,WAS,WR,0.9,9.5,0.0,0.0,0.0,0.0,0.0,1.4
243,KhaDarel Hodge,CLE,WR,0.7,9.0,0.0,0.0,0.0,0.0,0.0,1.3
242,Laquon Treadwell,JAC,WR,0.8,8.4,0.0,0.0,0.0,0.0,0.0,1.3
236,John Hightower,PHI,WR,0.7,9.6,0.0,0.0,0.0,0.0,0.0,1.3
241,Mack Hollins,MIA,WR,0.9,8.4,0.0,0.0,0.0,0.0,0.0,1.3
240,Marcell Ateman,LV,WR,0.7,9.1,0.0,0.0,0.0,0.0,0.0,1.3
239,Jake Lampman,NO,WR,0.7,9.4,0.0,0.0,0.0,0.0,0.0,1.3
238,Stanley Morgan Jr.,CIN,WR,0.8,9.0,0.0,0.0,0.0,0.0,0.0,1.3
237,Darvin Kidsy,SEA,WR,0.8,8.9,0.0,0.0,0.0,0.0,0.0,1.3
230,Trenton Irwin,CIN,WR,0.8,9.2,0.0,0.0,0.0,0.0,0.0,1.3
235,Chad Williams,KC,WR,0.8,8.8,0.0,0.0,0.0,0.0,0.0,1.3
234,John Ursua,SEA,WR,0.8,9.0,0.0,0.0,0.0,0.0,0.0,1.3
233,Lawrence Cager,NYJ,WR,0.8,9.0,0.0,0.0,0.0,0.0,0.0,1.3
232,Cyril Grayson Jr.,TB,WR,0.9,9.0,0.0,0.0,0.0,0.0,0.0,1.3
231,Riley Ridley,CHI,WR,0.8,9.2,0.0,0.0,0.0,0.0,0.0,1.3
229,Keelan Doss,LV,WR,0.8,9.3,0.0,0.0,0.0,0.0,0.0,1.3
228,Chad Hansen,DET,WR,0.9,9.2,0.0,0.0,0.0,0.0,0.0,1.3
256,Fred Brown,TEN,WR,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.2
255,Cody Hollister,TEN,WR,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.2
254,Rashard Davis,TEN,WR,0.7,8.1,0.0,0.0,0.0,0.0,0.0,1.2
253,Kevin White,SF,WR,0.7,8.3,0.0,0.0,0.0,0.0,0.0,1.2
252,Dante Pettis,NYG,WR,0.7,8.5,0.0,0.0,0.0,0.0,0.0,1.2
251,River Cracraft,SF,WR,0.7,8.6,0.0,0.0,0.0,0.0,0.0,1.2
250,Dan Chisena,MIN,WR,0.7,8.7,0.0,0.0,0.0,0.0,0.0,1.2
249,Ja'Marcus Bradley,CLE,WR,0.7,8.6,0.0,0.0,0.0,0.0,0.0,1.2
248,JoJo Natson,CLE,WR,0.7,8.6,0.0,0.0,0.0,0.0,0.0,1.2
247,Marvin Hall,NE,WR,0.7,8.9,0.0,0.0,0.0,0.0,0.0,1.2
246,Alexander Hollins,CLE,WR,0.7,8.7,0.0,0.0,0.0,0.0,0.0,1.2
245,Derrick Willies,CLE,WR,0.7,8.8,0.0,0.0,0.0,0.0,0.0,1.2
244,Robert Foster,MIA,WR,0.7,8.8,0.0,0.0,0.0,0.0,0.0,1.2
257,Tyrie Cleveland,DEN,WR,0.7,8.0,0.0,0.0,0.0,0.0,0.0,1.1
258,Ryan Switzer,CLE,WR,0.8,7.3,0.0,0.0,0.0,0.0,0.0,1.1
259,C.J. Board,NYG,WR,0.7,7.7,0.0,0.0,0.0,0.0,0.0,1.1
260,Brandon Zylstra,CAR,WR,0.7,7.5,0.0,0.0,0.0,0.0,0.0,1.1
261,Ishmael Hyman,CAR,WR,0.7,7.4,0.0,0.0,0.0,0.0,0.0,1.1
262,James Proche,BAL,WR,0.7,7.0,0.0,0.0,0.0,0.0,0.0,1.0
